GRN Code,SKU Code,Style Name,Size,Store Code,Store Name,City,Quantity
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6KS11238A__L,BC-EWS6KS11238A,L,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6KS11238A__M,BC-EWS6KS11238A,M,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6KS11238A__S,BC-EWS6KS11238A,S,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6KS11238A__XL,BC-EWS6KS11238A,XL,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6KS11238A__XS,BC-EWS6KS11238A,XS,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,2
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6KS11238B__L,BC-EWS6KS11238B,L,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6KS11238B__M,BC-EWS6KS11238B,M,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6KS11238B__S,BC-EWS6KS11238B,S,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6KS11238B__XL,BC-EWS6KS11238B,XL,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6KS11238B__XS,BC-EWS6KS11238B,XS,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444A__2XL,BC-EWS6TU30444A,2XL,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444A__L,BC-EWS6TU30444A,L,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444A__M,BC-EWS6TU30444A,M,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444A__S,BC-EWS6TU30444A,S,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444A__XL,BC-EWS6TU30444A,XL,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444A__XS,BC-EWS6TU30444A,XS,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444B__2XL,BC-EWS6TU30444B,2XL,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444B__L,BC-EWS6TU30444B,L,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444B__M,BC-EWS6TU30444B,M,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444B__S,BC-EWS6TU30444B,S,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444B__XL,BC-EWS6TU30444B,XL,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444B__XS,BC-EWS6TU30444B,XS,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444C__2XL,BC-EWS6TU30444C,2XL,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444C__L,BC-EWS6TU30444C,L,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444C__M,BC-EWS6TU30444C,M,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444C__S,BC-EWS6TU30444C,S,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444C__XL,BC-EWS6TU30444C,XL,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444C__XS,BC-EWS6TU30444C,XS,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444D__2XL,BC-EWS6TU30444D,2XL,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444D__L,BC-EWS6TU30444D,L,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444D__M,BC-EWS6TU30444D,M,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444D__S,BC-EWS6TU30444D,S,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444D__XL,BC-EWS6TU30444D,XL,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,BC-EWS6TU30444D__XS,BC-EWS6TU30444D,XS,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KS10905A__L,CWA5KS10905A,L,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KS10905A__M,CWA5KS10905A,M,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KS10905A__S,CWA5KS10905A,S,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KS10905A__XL,CWA5KS10905A,XL,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KS10905A__XS,CWA5KS10905A,XS,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KS10906A__L,CWA5KS10906A,L,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KS10906A__M,CWA5KS10906A,M,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KS10906A__S,CWA5KS10906A,S,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KS10906A__XL,CWA5KS10906A,XL,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KS10906A__XS,CWA5KS10906A,XS,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KU61437A__2XL,CWA5KU61437A,2XL,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,7
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KU61437A__L,CWA5KU61437A,L,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,7
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KU61437A__M,CWA5KU61437A,M,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,7
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KU61437A__S,CWA5KU61437A,S,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,7
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KU61437A__XL,CWA5KU61437A,XL,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,7
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KU61437A__XS,CWA5KU61437A,XS,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,11
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KU61439A__2XL,CWA5KU61439A,2XL,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,7
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KU61439A__L,CWA5KU61439A,L,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,7
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KU61439A__M,CWA5KU61439A,M,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,7
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KU61439A__S,CWA5KU61439A,S,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,7
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KU61439A__XL,CWA5KU61439A,XL,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,7
SS26 Master File For Allocation V12-INITIAL-STOCK,CWA5KU61439A__XS,CWA5KU61439A,XS,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,7
SS26 Master File For Allocation V12-INITIAL-STOCK,CWS6CD22983A__2XL,CWS6CD22983A,2XL,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
SS26 Master File For Allocation V12-INITIAL-STOCK,CWS6CD22983A__L,CWS6CD22983A,L,100_FT_INDIRANAGAR_B_75EA92,100 FT INDIRANAGAR BANGALORE,,1
