row,field,value,message,suggested_fix
2,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
3,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
4,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
5,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
6,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
7,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
8,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
9,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
10,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
11,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
12,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
13,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
14,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
15,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
16,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
17,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
18,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
19,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
20,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
21,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
22,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
23,store_name,AS RAO NAGAR HYDERABAD,Store 'AS RAO NAGAR HYDERABAD' not found,Upload store master first or correct store name
