buyer_name,vendor_name,sku_code,category,fabric,TOP COLOUR,colour,colour_family,mrp,story,sub_story,SUB STORY 2,store_group_rule,style_risk_group,size,total_buy_qty,ecom_reserved_qty,ars_reserved_qty,expected_first_allocation_qty
David,Design world,CWS6KS11160A,Kaftan Suit,Chiffon,Rust,RUST,BROWN,3498,Chiffon-Printed,Ikkat,(blank),A+ Stores,No Group,XS,0,0,0,0
David,Design world,CWS6KS11160A,Kaftan Suit,Chiffon,Rust,RUST,BROWN,3498,Chiffon-Printed,Ikkat,(blank),A+ Stores,No Group,S,0,0,0,0
David,Design world,CWS6KS11160A,Kaftan Suit,Chiffon,Rust,RUST,BROWN,3498,Chiffon-Printed,Ikkat,(blank),A+ Stores,No Group,M,0,0,0,0
David,Design world,CWS6KS11160A,Kaftan Suit,Chiffon,Rust,RUST,BROWN,3498,Chiffon-Printed,Ikkat,(blank),A+ Stores,No Group,L,0,0,0,0
David,Design world,CWS6KS11160A,Kaftan Suit,Chiffon,Rust,RUST,BROWN,3498,Chiffon-Printed,Ikkat,(blank),A+ Stores,No Group,XL,0,0,0,0
David,Design world,CWS6KS11160A,Kaftan Suit,Chiffon,Rust,RUST,BROWN,3498,Chiffon-Printed,Ikkat,(blank),A+ Stores,No Group,2XL,0,0,0,0
David,Design world,CWS6KS11160A,Kaftan Suit,Chiffon,Rust,RUST,BROWN,3498,Chiffon-Printed,Ikkat,(blank),A+ Stores,No Group,S/M,120,12,38,70
David,Design world,CWS6KS11160A,Kaftan Suit,Chiffon,Rust,RUST,BROWN,3498,Chiffon-Printed,Ikkat,(blank),A+ Stores,No Group,L/XL,80,8,25,47
David,Design world,CWS6KS11160B,Kaftan Suit,Chiffon,Purple,PURPLE,PURPLE,3498,Chiffon-Printed,Ikkat,(blank),A+ Stores,No Group,XS,0,0,0,0
David,Design world,CWS6KS11160B,Kaftan Suit,Chiffon,Purple,PURPLE,PURPLE,3498,Chiffon-Printed,Ikkat,(blank),A+ Stores,No Group,S,0,0,0,0
David,Design world,CWS6KS11160B,Kaftan Suit,Chiffon,Purple,PURPLE,PURPLE,3498,Chiffon-Printed,Ikkat,(blank),A+ Stores,No Group,M,0,0,0,0
David,Design world,CWS6KS11160B,Kaftan Suit,Chiffon,Purple,PURPLE,PURPLE,3498,Chiffon-Printed,Ikkat,(blank),A+ Stores,No Group,L,0,0,0,0
David,Design world,CWS6KS11160B,Kaftan Suit,Chiffon,Purple,PURPLE,PURPLE,3498,Chiffon-Printed,Ikkat,(blank),A+ Stores,No Group,XL,0,0,0,0
David,Design world,CWS6KS11160B,Kaftan Suit,Chiffon,Purple,PURPLE,PURPLE,3498,Chiffon-Printed,Ikkat,(blank),A+ Stores,No Group,2XL,0,0,0,0
David,Design world,CWS6KS11160B,Kaftan Suit,Chiffon,Purple,PURPLE,PURPLE,3498,Chiffon-Printed,Ikkat,(blank),A+ Stores,No Group,S/M,120,12,38,70
David,Design world,CWS6KS11160B,Kaftan Suit,Chiffon,Purple,PURPLE,PURPLE,3498,Chiffon-Printed,Ikkat,(blank),A+ Stores,No Group,L/XL,80,8,25,47
David,Design world,CWS6KS11161A,Kaftan Suit,Chiffon,Light Green,LIGHT GREEN,GREEN,3498,Chiffon-Printed,(blank),(blank),A+ & A Stores,No Group,XS,0,0,0,0
David,Design world,CWS6KS11161A,Kaftan Suit,Chiffon,Light Green,LIGHT GREEN,GREEN,3498,Chiffon-Printed,(blank),(blank),A+ & A Stores,No Group,S,0,0,0,0
David,Design world,CWS6KS11161A,Kaftan Suit,Chiffon,Light Green,LIGHT GREEN,GREEN,3498,Chiffon-Printed,(blank),(blank),A+ & A Stores,No Group,M,0,0,0,0
David,Design world,CWS6KS11161A,Kaftan Suit,Chiffon,Light Green,LIGHT GREEN,GREEN,3498,Chiffon-Printed,(blank),(blank),A+ & A Stores,No Group,L,0,0,0,0
David,Design world,CWS6KS11161A,Kaftan Suit,Chiffon,Light Green,LIGHT GREEN,GREEN,3498,Chiffon-Printed,(blank),(blank),A+ & A Stores,No Group,XL,0,0,0,0
David,Design world,CWS6KS11161A,Kaftan Suit,Chiffon,Light Green,LIGHT GREEN,GREEN,3498,Chiffon-Printed,(blank),(blank),A+ & A Stores,No Group,2XL,0,0,0,0
David,Design world,CWS6KS11161A,Kaftan Suit,Chiffon,Light Green,LIGHT GREEN,GREEN,3498,Chiffon-Printed,(blank),(blank),A+ & A Stores,No Group,S/M,116,12,36,68
David,Design world,CWS6KS11161A,Kaftan Suit,Chiffon,Light Green,LIGHT GREEN,GREEN,3498,Chiffon-Printed,(blank),(blank),A+ & A Stores,No Group,L/XL,78,8,25,45
David,Design world,CWS6KS11161B,Kaftan Suit,Chiffon,Coral,CORAL,PINK,3498,Chiffon-Printed,(blank),(blank),A+ & A Stores,No Group,XS,0,0,0,0
David,Design world,CWS6KS11161B,Kaftan Suit,Chiffon,Coral,CORAL,PINK,3498,Chiffon-Printed,(blank),(blank),A+ & A Stores,No Group,S,0,0,0,0
David,Design world,CWS6KS11161B,Kaftan Suit,Chiffon,Coral,CORAL,PINK,3498,Chiffon-Printed,(blank),(blank),A+ & A Stores,No Group,M,0,0,0,0
David,Design world,CWS6KS11161B,Kaftan Suit,Chiffon,Coral,CORAL,PINK,3498,Chiffon-Printed,(blank),(blank),A+ & A Stores,No Group,L,0,0,0,0
David,Design world,CWS6KS11161B,Kaftan Suit,Chiffon,Coral,CORAL,PINK,3498,Chiffon-Printed,(blank),(blank),A+ & A Stores,No Group,XL,0,0,0,0
David,Design world,CWS6KS11161B,Kaftan Suit,Chiffon,Coral,CORAL,PINK,3498,Chiffon-Printed,(blank),(blank),A+ & A Stores,No Group,2XL,0,0,0,0
David,Design world,CWS6KS11161B,Kaftan Suit,Chiffon,Coral,CORAL,PINK,3498,Chiffon-Printed,(blank),(blank),A+ & A Stores,No Group,S/M,116,12,36,68
David,Design world,CWS6KS11161B,Kaftan Suit,Chiffon,Coral,CORAL,PINK,3498,Chiffon-Printed,(blank),(blank),A+ & A Stores,No Group,L/XL,78,8,25,45
David,Design world,CWS6KS11162A,Kaftan Suit,Chiffon,Green,GREEN,GREEN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,XS,0,0,0,0
David,Design world,CWS6KS11162A,Kaftan Suit,Chiffon,Green,GREEN,GREEN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,S,0,0,0,0
David,Design world,CWS6KS11162A,Kaftan Suit,Chiffon,Green,GREEN,GREEN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,M,0,0,0,0
David,Design world,CWS6KS11162A,Kaftan Suit,Chiffon,Green,GREEN,GREEN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,L,0,0,0,0
